state,city,year,storeType,price
Chihuahua,Chihuahua,2007,Mom and Pop Store,10
Tamaulipas,Reynosa,2007,Mom and Pop Store,10.02
BajaCalifornia,Tijuana,2007,Mom and Pop Store,10
Coahuila,Piedras Negras,2007,Mom and Pop Store,10
NuevoLeon,Monterrey,2007,Mom and Pop Store,9.7
Sonora,Cd. Obregón,2007,Mom and Pop Store,11.6
Sonora,Hermosillo,2007,Mom and Pop Store,11.4
Tamaulipas,Cd. Victoria,2007,Mom and Pop Store,8.6
Tamaulipas,Matamoros,2007,Mom and Pop Store,9.8
Tamaulipas,Nuevo Laredo,2007,Mom and Pop Store,9.8
Chihuahua,Chihuahua,2007,Mom and Pop Store,9.5
Tamaulipas,Reynosa,2007,Mom and Pop Store,10.2
BajaCalifornia,Tijuana,2007,Mom and Pop Store,10.2
Coahuila,Piedras Negras,2007,Mom and Pop Store,10
NuevoLeon,Monterrey,2007,Mom and Pop Store,9.4
Sonora,Cd. Obregón,2007,Mom and Pop Store,11.3
Sonora,Hermosillo,2007,Mom and Pop Store,11.6
Tamaulipas,Cd. Victoria,2007,Mom and Pop Store,9
Sonora,Nogales,2007,Mom and Pop Store,11
Tamaulipas,Matamoros,2007,Mom and Pop Store,9.83
Tamaulipas,Nuevo Laredo,2007,Mom and Pop Store,10
Chihuahua,Chihuahua,2007,Mom and Pop Store,9.5
Tamaulipas,Reynosa,2007,Mom and Pop Store,9.38
BajaCalifornia,Mexicali,2007,Mom and Pop Store,12
Chihuahua,Cd. Juárez,2007,Mom and Pop Store,8.63
Tamaulipas,Tampico,2007,Mom and Pop Store,10
BajaCalifornia,Tijuana,2007,Mom and Pop Store,10.25
Coahuila,Piedras Negras,2007,Mom and Pop Store,9.5
NuevoLeon,Monterrey,2007,Mom and Pop Store,8.5
Sonora,Cd. Obregón,2007,Mom and Pop Store,12
Coahuila,Saltillo,2007,Mom and Pop Store,8.25
NuevoLeon,ZM Monterrey,2007,Mom and Pop Store,8.7
Sonora,Hermosillo,2007,Mom and Pop Store,11.5
Tamaulipas,Cd. Victoria,2007,Mom and Pop Store,9
Sonora,Nogales,2007,Mom and Pop Store,11
Tamaulipas,Matamoros,2007,Mom and Pop Store,9.83
Tamaulipas,Nuevo Laredo,2007,Mom and Pop Store,9.5
Chihuahua,Chihuahua,2007,Mom and Pop Store,9
Tamaulipas,Reynosa,2007,Mom and Pop Store,9.38
BajaCalifornia,Mexicali,2007,Mom and Pop Store,12
Chihuahua,Cd. Juárez,2007,Mom and Pop Store,8.5
Tamaulipas,Tampico,2007,Mom and Pop Store,9.5
BajaCalifornia,Tijuana,2007,Mom and Pop Store,10.25
Coahuila,Piedras Negras,2007,Mom and Pop Store,9.5
NuevoLeon,Monterrey,2007,Mom and Pop Store,8.5
Sonora,Cd. Obregón,2007,Mom and Pop Store,10
Coahuila,Saltillo,2007,Mom and Pop Store,8.25
NuevoLeon,ZM Monterrey,2007,Mom and Pop Store,8.5
Sonora,Hermosillo,2007,Mom and Pop Store,11.5
Tamaulipas,Cd. Victoria,2007,Mom and Pop Store,9
Sonora,Nogales,2007,Mom and Pop Store,11
Tamaulipas,Matamoros,2007,Mom and Pop Store,9.67
Tamaulipas,Nuevo Laredo,2007,Mom and Pop Store,9.5
Chihuahua,Chihuahua,2007,Mom and Pop Store,9
Tamaulipas,Reynosa,2007,Mom and Pop Store,9.38
BajaCalifornia,Mexicali,2007,Mom and Pop Store,12
Chihuahua,Cd. Juárez,2007,Mom and Pop Store,8.63
Tamaulipas,Tampico,2007,Mom and Pop Store,9.5
BajaCalifornia,Tijuana,2007,Mom and Pop Store,10.25
Coahuila,Piedras Negras,2007,Mom and Pop Store,9.5
NuevoLeon,Monterrey,2007,Mom and Pop Store,8.5
Sonora,Cd. Obregón,2007,Mom and Pop Store,10
Coahuila,Saltillo,2007,Mom and Pop Store,8.13
NuevoLeon,ZM Monterrey,2007,Mom and Pop Store,8.5
Sonora,Hermosillo,2007,Mom and Pop Store,11.5
Tamaulipas,Cd. Victoria,2007,Mom and Pop Store,9
Sonora,Nogales,2007,Mom and Pop Store,11
Tamaulipas,Matamoros,2007,Mom and Pop Store,9.67
Tamaulipas,Nuevo Laredo,2007,Mom and Pop Store,9.5
Chihuahua,Chihuahua,2007,Mom and Pop Store,9
Tamaulipas,Reynosa,2007,Mom and Pop Store,9.13
BajaCalifornia,Mexicali,2007,Mom and Pop Store,12
Chihuahua,Cd. Juárez,2007,Mom and Pop Store,8.38
Tamaulipas,Tampico,2007,Mom and Pop Store,9.5
BajaCalifornia,Tijuana,2007,Mom and Pop Store,10.25
Coahuila,Piedras Negras,2007,Mom and Pop Store,9
NuevoLeon,Monterrey,2007,Mom and Pop Store,8.5
Sonora,Cd. Obregón,2007,Mom and Pop Store,10
Coahuila,Saltillo,2007,Mom and Pop Store,8.5
NuevoLeon,ZM Monterrey,2007,Mom and Pop Store,8.5
Sonora,Hermosillo,2007,Mom and Pop Store,11.25
Tamaulipas,Cd. Victoria,2007,Mom and Pop Store,9
Sonora,Nogales,2007,Mom and Pop Store,11
Tamaulipas,Matamoros,2007,Mom and Pop Store,9.67
Tamaulipas,Nuevo Laredo,2007,Mom and Pop Store,9.5
Chihuahua,Chihuahua,2007,Mom and Pop Store,9
Tamaulipas,Reynosa,2007,Mom and Pop Store,9.13
BajaCalifornia,Mexicali,2007,Mom and Pop Store,12
Chihuahua,Cd. Juárez,2007,Mom and Pop Store,8.44
